topic,paraphrase_idx,category,K,r_drift,abs_r_drift,r_timing_cv,abs_r_timing_cv,r_mean_depth_excess,abs_r_mean_depth_excess,r_isolated_frac,abs_r_isolated_frac,r_d2_excess,abs_r_d2_excess
control_music_classical,3,control,30,0.28308515124675176,0.28308515124675176,-0.042369686107708464,0.042369686107708464,0.03356982538331176,0.03356982538331176,-0.10282980702781351,0.10282980702781351,0.01310322307696388,0.01310322307696388
control_music_classical,4,control,30,0.11490026476122225,0.11490026476122225,0.17973122771350716,0.17973122771350716,-0.08235625589580141,0.08235625589580141,0.1643270395735718,0.1643270395735718,-0.21743219550977147,0.21743219550977147
control_physics_thermodynamics,0,control,30,0.1530633499958441,0.1530633499958441,0.0011834616824119761,0.0011834616824119761,0.07360223647936869,0.07360223647936869,-0.28393536270946046,0.28393536270946046,0.034798105613320744,0.034798105613320744
control_physics_thermodynamics,1,control,30,-0.28473007769856346,0.28473007769856346,-0.0004212882537435376,0.0004212882537435376,-0.008952705471212439,0.008952705471212439,-0.033301997693232985,0.033301997693232985,-0.012051723610986529,0.012051723610986529
control_physics_thermodynamics,2,control,30,-0.13003607701435618,0.13003607701435618,-0.14210446773852092,0.14210446773852092,-0.022697094488592445,0.022697094488592445,0.20302693771816238,0.20302693771816238,-0.02561857071078018,0.02561857071078018
control_physics_thermodynamics,3,control,30,0.3395238089944403,0.3395238089944403,0.10054757525416261,0.10054757525416261,-0.1704866515826284,0.1704866515826284,-0.10099508333768438,0.10099508333768438,-0.1969682413647096,0.1969682413647096
control_physics_thermodynamics,4,control,30,0.04982601161709681,0.04982601161709681,0.30004785433111475,0.30004785433111475,0.20574110395872222,0.20574110395872222,-0.2880057408126292,0.2880057408126292,0.15045296871445354,0.15045296871445354
mid_ai_existential_risk,0,mid,30,0.0962214700799973,0.0962214700799973,-0.20378774808622072,0.20378774808622072,-0.08946354328539262,0.08946354328539262,-0.2018597482169327,0.2018597482169327,0.23902265237265397,0.23902265237265397
mid_ai_existential_risk,1,mid,30,-0.07039295496579814,0.07039295496579814,-0.2646030569780837,0.2646030569780837,0.15427868342223292,0.15427868342223292,-0.1019767842321932,0.1019767842321932,-0.3531810365841383,0.3531810365841383
mid_ai_existential_risk,2,mid,30,0.3656817236255246,0.3656817236255246,-0.3469436431096605,0.3469436431096605,-0.1684985725318766,0.1684985725318766,-0.019833048869069572,0.019833048869069572,-0.23939946366319015,0.23939946366319015
mid_ai_existential_risk,3,mid,30,-0.1825246114990928,0.1825246114990928,0.27198275745120193,0.27198275745120193,-0.2758192264063038,0.2758192264063038,0.011593929544880009,0.011593929544880009,-0.3406978742255383,0.3406978742255383
mid_ai_existential_risk,4,mid,30,-0.10352554361946689,0.10352554361946689,-0.11979983805909303,0.11979983805909303,-0.25773859935820137,0.25773859935820137,-0.2349261973678243,0.2349261973678243,-0.31798339758728583,0.31798339758728583
mid_carbon_tax,0,mid,30,0.028300042831126176,0.028300042831126176,0.10473731565283846,0.10473731565283846,0.33267330533456263,0.33267330533456263,0.23571114246760033,0.23571114246760033,,
mid_carbon_tax,1,mid,30,-0.1021522350283019,0.1021522350283019,0.08532602106786774,0.08532602106786774,-0.05088636510946775,0.05088636510946775,0.018774329145457833,0.018774329145457833,-0.06095862613069264,0.06095862613069264
mid_carbon_tax,2,mid,30,0.0629752405956502,0.0629752405956502,0.062338644270079194,0.062338644270079194,-0.2693226800288644,0.2693226800288644,-0.17020628104621105,0.17020628104621105,-0.19042024307992106,0.19042024307992106
mid_carbon_tax,3,mid,30,-0.02227336828142311,0.02227336828142311,0.057476439147267036,0.057476439147267036,0.3307497220686824,0.3307497220686824,0.09232732605963212,0.09232732605963212,0.2770114107930452,0.2770114107930452
mid_carbon_tax,4,mid,30,-0.2622964619073721,0.2622964619073721,0.3652781000243975,0.3652781000243975,0.17316326090454928,0.17316326090454928,0.13311894992089202,0.13311894992089202,0.25866989362167886,0.25866989362167886
mid_electoral_reform,0,mid,30,-0.2772884923142693,0.2772884923142693,-0.04013298817393839,0.04013298817393839,0.06780979834558487,0.06780979834558487,-0.012621454927900235,0.012621454927900235,0.019201913497201732,0.019201913497201732
mid_electoral_reform,1,mid,30,0.06934971438589532,0.06934971438589532,-0.25714487579349277,0.25714487579349277,0.12801990932052784,0.12801990932052784,0.05688860375510312,0.05688860375510312,0.15958733824207122,0.15958733824207122
mid_electoral_reform,2,mid,30,0.08163562956116038,0.08163562956116038,0.12492412838144898,0.12492412838144898,-0.15032650742439355,0.15032650742439355,-0.10575253679873879,0.10575253679873879,-0.0839004275496953,0.0839004275496953
mid_electoral_reform,3,mid,30,-0.04593393305668717,0.04593393305668717,-0.20110808467366847,0.20110808467366847,0.015147186666692881,0.015147186666692881,0.04651699063378598,0.04651699063378598,-0.03235494521894065,0.03235494521894065
mid_electoral_reform,4,mid,30,-0.09082053605300607,0.09082053605300607,0.2750156731159042,0.2750156731159042,-0.05205572105984243,0.05205572105984243,-0.20319765599004735,0.20319765599004735,-0.10091547771071492,0.10091547771071492
mid_gmo_food,0,mid,30,0.10362179085341332,0.10362179085341332,0.06381692528728782,0.06381692528728782,0.1393477588463094,0.1393477588463094,0.00425660713084256,0.00425660713084256,0.1521593936852067,0.1521593936852067
mid_gmo_food,1,mid,30,-0.020415950680208454,0.020415950680208454,0.008007836018263903,0.008007836018263903,0.07115861136430157,0.07115861136430157,-0.01648061744837107,0.01648061744837107,-0.005025870520224785,0.005025870520224785
mid_gmo_food,2,mid,30,0.19223121395150822,0.19223121395150822,0.14967748815012588,0.14967748815012588,-0.4151522493782405,0.4151522493782405,-0.28408302307925004,0.28408302307925004,-0.4151522493782404,0.4151522493782404
mid_gmo_food,3,mid,30,-0.24479745889468152,0.24479745889468152,-0.0017063578588155312,0.0017063578588155312,0.09691456332333505,0.09691456332333505,-0.22943691852983672,0.22943691852983672,0.035242765793984394,0.035242765793984394
mid_gmo_food,4,mid,30,0.13364481312074872,0.13364481312074872,0.0861727853630104,0.0861727853630104,0.23649597019689095,0.23649597019689095,-0.1128395627126823,0.1128395627126823,0.24539102193335816,0.24539102193335816
mid_immigration_economics,0,mid,30,-0.19999787775397615,0.19999787775397615,0.3717841914524019,0.3717841914524019,-0.035050353016135315,0.035050353016135315,0.2539335905801036,0.2539335905801036,0.03564054229030166,0.03564054229030166
mid_immigration_economics,1,mid,30,0.2625619424981718,0.2625619424981718,-0.0422130653069384,0.0422130653069384,-0.004559612908015168,0.004559612908015168,0.13832634044764908,0.13832634044764908,-0.007964200940371627,0.007964200940371627
mid_immigration_economics,2,mid,30,-0.08222441983902067,0.08222441983902067,-0.2284552409631593,0.2284552409631593,0.0591469879794584,0.0591469879794584,0.1681533347446282,0.1681533347446282,0.05327808709533351,0.05327808709533351
mid_immigration_economics,3,mid,30,0.07068844177615743,0.07068844177615743,0.018729495146306147,0.018729495146306147,-0.19191247523085334,0.19191247523085334,0.23631222338475164,0.23631222338475164,-0.1784821679940353,0.1784821679940353
mid_immigration_economics,4,mid,30,0.09220732966065048,0.09220732966065048,0.09631106335246066,0.09631106335246066,-0.1089670326538485,0.1089670326538485,-0.1676175576097393,0.1676175576097393,,
mid_minimum_wage,0,mid,30,-0.1489172709328715,0.1489172709328715,-0.05009733871487068,0.05009733871487068,-0.06413245718946288,0.06413245718946288,0.003438199790155815,0.003438199790155815,0.2581566166928227,0.2581566166928227
mid_minimum_wage,1,mid,30,-0.4049239017029043,0.4049239017029043,-0.11607541995150175,0.11607541995150175,0.21033225066218844,0.21033225066218844,0.2637124208426729,0.2637124208426729,0.24202159826458403,0.24202159826458403
mid_minimum_wage,2,mid,30,-0.27959096672665523,0.27959096672665523,0.09498407770276644,0.09498407770276644,-0.08574947029093738,0.08574947029093738,0.21060591507327986,0.21060591507327986,-0.17271463644150065,0.17271463644150065
